AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,source
3411,Barter Island LRRS Airport,Barter Island,United States,BTI,PABA,70.13400268550001,-143.582000732,2,-9,A,America/Anchorage,airport,OurAirports
3413,Cape Lisburne LRRS Airport,Cape Lisburne,United States,LUR,PALU,68.87509918,-166.1100006,16,-9,A,America/Anchorage,airport,OurAirports
3414,Point Lay LRRS Airport,Point Lay,United States,PIZ,PPIZ,69.73290253,-163.00500490000002,22,-9,A,America/Anchorage,airport,OurAirports
3415,Hilo International Airport,Hilo,United States,ITO,PHTO,19.721399307250977,-155.04800415039062,38,-10,N,Pacific/Honolulu,airport,OurAirports
3416,Orlando Executive Airport,Orlando,United States,ORL,KORL,28.545499801635998,-81.332901000977,113,-5,A,America/New_York,airport,OurAirports
3417,Bettles Airport,Bettles,United States,BTT,PABT,66.91390228,-151.529007,647,-9,A,America/Anchorage,airport,OurAirports
3418,Clear Airport,Clear Mews,United States,Z84,PACL,64.301201,-149.119995,552,-9,A,America/Anchorage,airport,OurAirports
3419,Indian Mountain LRRS Airport,Indian Mountains,United States,UTO,PAIM,65.99279785,-153.7039948,1273,-9,A,America/Anchorage,airport,OurAirports
3420,Fort Yukon Airport,Fort Yukon,United States,FYU,PFYU,66.57150268554689,-145.25,433,-9,A,America/Anchorage,airport,OurAirports
3421,Sparrevohn LRRS Airport,Sparrevohn,United States,SVW,PASV,61.09740067,-155.5740051,1585,-9,A,America/Anchorage,airport,OurAirports
3422,Bryant Army Heliport,Fort Richardson,United States,FRN,PAFR,61.26639938,-149.6529999,378,-9,A,America/Anchorage,airport,OurAirports
3423,Tatalina LRRS Airport,Tatalina,United States,TLJ,PATL,62.894401550299996,-155.977005005,964,-9,A,America/Anchorage,airport,OurAirports
3424,Cape Romanzof LRRS Airport,Cape Romanzof,United States,CZF,PACZ,61.78030014,-166.03900149999998,464,-9,A,America/Anchorage,airport,OurAirports
3425,Laurence G Hanscom Field,Bedford,United States,BED,KBED,42.47000122,-71.28900146,133,-5,A,America/New_York,airport,OurAirports
3426,St Paul Island Airport,St. Paul Island,United States,SNP,PASN,57.16730117797852,-170.22000122070312,63,-9,A,America/Anchorage,airport,OurAirports
3427,Cape Newenham LRRS Airport,Cape Newenham,United States,EHM,PAEH,58.6464004517,-162.06300354,541,-9,A,America/Anchorage,airport,OurAirports
3428,St George Airport,Point Barrow,United States,STG,PAPB,56.5783004761,-169.662002563,125,-9,A,America/Anchorage,airport,OurAirports
3429,Iliamna Airport,Iliamna,United States,ILI,PAIL,59.75439835,-154.9109955,192,-9,A,America/Anchorage,airport,OurAirports
3430,Platinum Airport,Port Moller,United States,PTU,PAPM,59.01139831542969,-161.82000732421875,15,-9,A,America/Anchorage,airport,OurAirports
3431,Big Mountain Airport,Big Mountain,United States,BMX,PABM,59.361198425299996,-155.259002686,663,-9,A,America/Anchorage,airport,OurAirports
3432,Oscoda Wurtsmith Airport,Oscoda,United States,OSC,KOSC,44.45159912,-83.39409637,633,-5,A,America/New_York,airport,OurAirports
3433,Marina Municipal Airport,Fort Ord,United States,OAR,KOAR,36.68190002,-121.762001,137,-8,A,America/Los_Angeles,airport,OurAirports
3434,Sacramento Mather Airport,Sacramento,United States,MHR,KMHR,38.55390167,-121.29799650000001,98,-8,A,America/Los_Angeles,airport,OurAirports
3435,Bicycle Lake Army Air Field,Fort Irwin,United States,BYS,KBYS,35.2804985046,-116.629997253,2350,-8,A,America/Los_Angeles,airport,OurAirports
3436,Twentynine Palms (Self) Airport,Twenty Nine Palms,United States,NXP,KNXP,34.2961998,-116.16200259999998,2051,-8,A,America/Los_Angeles,airport,OurAirports
3437,Fort Smith Regional Airport,Fort Smith,United States,FSM,KFSM,35.33660125732422,-94.36740112304688,469,-6,A,America/Chicago,airport,OurAirports
3438,Merrill Field,Anchorage,United States,MRI,PAMR,61.2135009765625,-149.843994140625,137,-9,A,America/Anchorage,airport,OurAirports
3439,Grants-Milan Municipal Airport,Grants,United States,GNT,KGNT,35.167301178,-107.902000427,6537,-7,A,America/Denver,airport,OurAirports
3440,Ponca City Regional Airport,Ponca City,United States,PNC,KPNC,36.73199844,-97.09980011,1008,-6,A,America/Chicago,airport,OurAirports
3441,Hunter Army Air Field,Hunter Aaf,United States,SVN,KSVN,32.00999832,-81.14569855,41,-5,A,America/New_York,airport,OurAirports
3442,Grand Forks International Airport,Grand Forks,United States,GFK,KGFK,47.949298999999996,-97.176102,845,-6,A,America/Chicago,airport,OurAirports
3443,Grider Field,Pine Bluff,United States,PBF,KPBF,34.173099517800004,-91.9356002808,206,-6,A,America/Chicago,airport,OurAirports
3444,Whiting Field Naval Air Station - North,Milton,United States,NSE,KNSE,30.724199300000002,-87.02189636,199,-6,A,America/Chicago,airport,OurAirports
3445,Hana Airport,Hana,United States,HNM,PHHN,20.79560089111328,-156.01400756835938,78,-10,A,Pacific/Honolulu,airport,OurAirports
3446,Ernest A. Love Field,Prescott,United States,PRC,KPRC,34.65449905,-112.41999820000001,5045,-7,A,America/Phoenix,airport,OurAirports
3447,Trenton Mercer Airport,Trenton,United States,TTN,KTTN,40.27669906616211,-74.8134994506836,213,-5,A,America/New_York,airport,OurAirports
3448,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,OurAirports
3449,Travis Air Force Base,Fairfield,United States,SUU,KSUU,38.262699127196996,-121.92700195312,62,-8,A,America/Los_Angeles,airport,OurAirports
3450,Griffiss International Airport,Rome,United States,RME,KRME,43.23379898,-75.40699768,504,-5,A,America/New_York,airport,OurAirports
3451,Wendover Airport,Wendover,United States,ENV,KENV,40.7187004089,-114.03099823,4237,-7,A,America/Denver,airport,OurAirports
3452,Mobile Downtown Airport,Mobile,United States,BFM,KBFM,30.626800537100006,-88.06809997559998,26,-6,A,America/Chicago,airport,OurAirports
3453,Metropolitan Oakland International Airport,Oakland,United States,OAK,KOAK,37.72129821777344,-122.22100067138672,9,-8,A,America/Los_Angeles,airport,OurAirports
3454,Eppley Airfield,Omaha,United States,OMA,KOMA,41.303199768066406,-95.89409637451172,984,-6,A,America/Chicago,airport,OurAirports
3455,Port Angeles Cgas Airport,Port Angeles,United States,NOW,KNOW,48.14149856567383,-123.41400146484376,13,-8,A,America/Los_Angeles,airport,OurAirports
3456,Kahului Airport,Kahului,United States,OGG,PHOG,20.89859962463379,-156.42999267578125,54,-10,N,Pacific/Honolulu,airport,OurAirports
3457,Wichita Mid Continent Airport,Wichita,United States,ICT,KICT,37.649898529052734,-97.43309783935548,1333,-6,A,America/Chicago,airport,OurAirports
3458,Kansas City International Airport,Kansas City,United States,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,OurAirports
